;jour;region_name;cas_confirmes
15;2020-01-24;Île-de-France;2.0
17;2020-01-24;Nouvelle-Aquitaine;1.0
23;2020-01-25;Île-de-France;2.0
24;2020-01-25;Nouvelle-Aquitaine;1.0
28;2020-01-26;Île-de-France;2.0
29;2020-01-26;Nouvelle-Aquitaine;1.0
35;2020-01-27;Île-de-France;2.0
36;2020-01-27;Nouvelle-Aquitaine;1.0
42;2020-01-28;Île-de-France;3.0
43;2020-01-28;Nouvelle-Aquitaine;1.0
48;2020-01-29;Île-de-France;4.0
49;2020-01-29;Nouvelle-Aquitaine;1.0
55;2020-01-30;Île-de-France;5.0
56;2020-01-30;Nouvelle-Aquitaine;1.0
62;2020-01-31;Île-de-France;5.0
63;2020-01-31;Nouvelle-Aquitaine;1.0
71;2020-02-03;Île-de-France;5.0
72;2020-02-03;Nouvelle-Aquitaine;1.0
80;2020-02-05;Île-de-France;5.0
81;2020-02-05;Nouvelle-Aquitaine;1.0
86;2020-02-06;Île-de-France;5.0
87;2020-02-06;Nouvelle-Aquitaine;1.0
93;2020-02-07;Île-de-France;5.0
94;2020-02-07;Nouvelle-Aquitaine;1.0
95;2020-02-07;Auvergne-Rhône-Alpes;5.0
104;2020-02-08;Île-de-France;5.0
105;2020-02-08;Nouvelle-Aquitaine;1.0
106;2020-02-08;Auvergne-Rhône-Alpes;5.0
115;2020-02-10;Île-de-France;5.0
116;2020-02-10;Nouvelle-Aquitaine;1.0
117;2020-02-10;Auvergne-Rhône-Alpes;5.0
123;2020-02-11;Île-de-France;5.0
124;2020-02-11;Nouvelle-Aquitaine;1.0
125;2020-02-11;Auvergne-Rhône-Alpes;5.0
131;2020-02-12;Île-de-France;5.0
132;2020-02-12;Nouvelle-Aquitaine;1.0
133;2020-02-12;Auvergne-Rhône-Alpes;5.0
146;2020-02-20;Île-de-France;5.0
147;2020-02-20;Nouvelle-Aquitaine;1.0
148;2020-02-20;Auvergne-Rhône-Alpes;6.0
159;2020-02-25;Bourgogne-Franche-Comté;0.0
172;2020-02-26;Hauts-de-France;2.0
173;2020-02-26;Grand Est;1.0
182;2020-02-27;Auvergne-Rhône-Alpes;2.0
196;2020-02-28;Guadeloupe;0.0
197;2020-02-28;Martinique;0.0
198;2020-02-28;Guyane;0.0
199;2020-02-28;La Réunion;0.0
200;2020-02-28;Mayotte;0.0
201;2020-02-28;Île-de-France;9.0
202;2020-02-28;Centre-Val de Loire;0.0
203;2020-02-28;Bourgogne-Franche-Comté;5.0
205;2020-02-28;Normandie;1.0
207;2020-02-28;Hauts-de-France;9.0
208;2020-02-28;Grand Est;1.0
209;2020-02-28;Pays de la Loire;1.0
210;2020-02-28;Bretagne;1.0
211;2020-02-28;Nouvelle-Aquitaine;1.0
212;2020-02-28;Occitanie;1.0
213;2020-02-28;Auvergne-Rhône-Alpes;11.0
214;2020-02-28;Provence-Alpes-Côte d'Azur;0.0
215;2020-02-28;Corse;0.0
233;2020-02-29;Nouvelle-Aquitaine;4.0
246;2020-03-01;Bourgogne-Franche-Comté;10.0
272;2020-03-02;Guadeloupe;0.0
273;2020-03-02;Martinique;0.0
274;2020-03-02;Guyane;0.0
275;2020-03-02;La Réunion;0.0
276;2020-03-02;Mayotte;0.0
277;2020-03-02;Île-de-France;34.0
278;2020-03-02;Centre-Val de Loire;0.0
279;2020-03-02;Bourgogne-Franche-Comté;8.0
280;2020-03-02;Normandie;2.0
282;2020-03-02;Hauts-de-France;45.0
283;2020-03-02;Grand Est;7.0
286;2020-03-02;Pays de la Loire;5.0
287;2020-03-02;Bretagne;13.0
288;2020-03-02;Nouvelle-Aquitaine;4.0
