;index;dep;jour;nb_test;nb_pos
0;0;01;2020-03-10;0;0
1;6;01;2020-03-11;0;0
2;12;01;2020-03-12;0;0
3;18;01;2020-03-13;0;0
4;24;01;2020-03-14;0;0
5;30;01;2020-03-15;0;0
6;36;01;2020-03-16;5;4
7;42;01;2020-03-17;8;4
8;48;01;2020-03-18;37;8
9;54;01;2020-03-19;82;13
10;60;01;2020-03-20;44;9
11;66;01;2020-03-21;13;1
12;72;01;2020-03-22;4;0
13;78;01;2020-03-23;36;9
14;84;01;2020-03-24;17;2
15;90;01;2020-03-25;21;3
16;96;01;2020-03-26;27;5
17;102;01;2020-03-27;30;5
18;108;01;2020-03-28;13;2
19;114;01;2020-03-29;0;0
20;120;01;2020-03-30;53;9
21;126;01;2020-03-31;57;10
22;132;01;2020-04-01;29;4
23;138;01;2020-04-02;17;4
24;144;01;2020-04-03;50;9
25;150;01;2020-04-04;9;1
26;156;01;2020-04-05;0;0
27;162;01;2020-04-06;19;2
28;168;01;2020-04-07;72;23
29;174;01;2020-04-08;71;11
30;180;01;2020-04-09;43;6
31;186;01;2020-04-10;75;10
32;192;01;2020-04-11;34;7
33;198;01;2020-04-12;0;0
34;204;01;2020-04-13;248;68
35;210;01;2020-04-14;151;19
36;216;01;2020-04-15;169;12
37;222;01;2020-04-16;152;33
38;228;01;2020-04-17;105;7
39;234;01;2020-04-18;39;4
40;240;01;2020-04-19;0;0
41;246;01;2020-04-20;124;14
42;252;01;2020-04-21;74;5
43;258;01;2020-04-22;95;12
44;264;01;2020-04-23;119;13
45;270;01;2020-04-24;70;5
46;276;01;2020-04-25;9;1
47;282;01;2020-04-26;0;0
48;288;01;2020-04-27;51;2
49;294;01;2020-04-28;33;4
50;300;01;2020-04-29;57;2
51;306;01;2020-04-30;142;0
52;312;01;2020-05-01;0;0
53;318;01;2020-05-02;12;0
54;324;01;2020-05-03;0;0
55;330;01;2020-05-04;193;0
56;336;01;2020-05-05;100;3
57;342;01;2020-05-06;76;2
58;348;01;2020-05-07;28;0
59;354;01;2020-05-08;0;0
60;360;01;2020-05-09;1;0
61;366;01;2020-05-10;0;0
62;372;01;2020-05-11;90;4
63;378;01;2020-05-12;92;4
64;384;01;2020-05-13;46;0
65;390;01;2020-05-14;57;3
66;396;01;2020-05-15;46;1
67;402;01;2020-05-16;11;0
68;408;01;2020-05-17;0;0
69;414;01;2020-05-18;54;0
70;420;01;2020-05-19;77;0
71;426;01;2020-05-20;61;3
72;432;01;2020-05-21;0;0
73;438;01;2020-05-22;56;0
74;444;01;2020-05-23;20;0
75;450;01;2020-05-24;0;0
76;456;01;2020-05-25;38;0
77;462;01;2020-05-26;44;0
78;468;02;2020-03-10;0;0
79;474;02;2020-03-11;0;0
80;480;02;2020-03-12;0;0
81;486;02;2020-03-13;0;0
82;492;02;2020-03-14;0;0
83;498;02;2020-03-15;0;0
84;504;02;2020-03-16;0;0
85;510;02;2020-03-17;2;0
86;516;02;2020-03-18;2;2
87;522;02;2020-03-19;6;1
88;528;02;2020-03-20;8;4
89;534;02;2020-03-21;1;0
90;540;02;2020-03-22;2;0
91;546;02;2020-03-23;5;1
92;552;02;2020-03-24;17;9
93;558;02;2020-03-25;11;3
94;564;02;2020-03-26;37;16
95;570;02;2020-03-27;26;8
96;576;02;2020-03-28;12;2
97;582;02;2020-03-29;0;0
98;588;02;2020-03-30;58;27
99;594;02;2020-03-31;92;34
100;600;02;2020-04-01;72;22
101;606;02;2020-04-02;55;22
102;612;02;2020-04-03;69;23
103;618;02;2020-04-04;5;1
104;624;02;2020-04-05;0;0
105;630;02;2020-04-06;100;33
106;636;02;2020-04-07;101;39
107;642;02;2020-04-08;82;21
108;648;02;2020-04-09;102;17
109;654;02;2020-04-10;69;15
110;660;02;2020-04-11;9;1
111;666;02;2020-04-12;1;0
112;672;02;2020-04-13;4;0
113;678;02;2020-04-14;86;14
114;684;02;2020-04-15;109;17
115;690;02;2020-04-16;90;11
116;696;02;2020-04-17;72;8
117;702;02;2020-04-18;10;1
118;708;02;2020-04-19;0;0
119;714;02;2020-04-20;76;12
120;720;02;2020-04-21;90;15
121;726;02;2020-04-22;52;7
122;732;02;2020-04-23;178;13
123;738;02;2020-04-24;74;4
124;744;02;2020-04-25;1;0
125;750;02;2020-04-26;0;0
126;756;02;2020-04-27;58;6
127;762;02;2020-04-28;67;5
128;768;02;2020-04-29;66;7
129;774;02;2020-04-30;36;2
130;780;02;2020-05-01;0;0
131;786;02;2020-05-02;1;0
132;792;02;2020-05-03;0;0
133;798;02;2020-05-04;46;1
134;804;02;2020-05-05;56;1
135;810;02;2020-05-06;246;6
136;816;02;2020-05-07;88;4
137;822;02;2020-05-08;2;0
138;828;02;2020-05-09;2;0
139;834;02;2020-05-10;0;0
140;840;02;2020-05-11;53;0
141;846;02;2020-05-12;73;6
142;852;02;2020-05-13;65;1
143;858;02;2020-05-14;57;7
144;864;02;2020-05-15;57;0
145;870;02;2020-05-16;8;1
146;876;02;2020-05-17;7;0
147;882;02;2020-05-18;87;1
148;888;02;2020-05-19;46;0
149;894;02;2020-05-20;46;0
150;900;02;2020-05-21;0;0
151;906;02;2020-05-22;66;1
152;912;02;2020-05-23;0;0
153;918;02;2020-05-24;1;0
154;924;02;2020-05-25;39;3
155;930;02;2020-05-26;13;1
156;936;03;2020-03-10;0;0
157;942;03;2020-03-11;0;0
158;948;03;2020-03-12;0;0
159;954;03;2020-03-13;0;0
160;960;03;2020-03-14;0;0
161;966;03;2020-03-15;0;0
162;972;03;2020-03-16;0;0
163;978;03;2020-03-17;3;0
164;984;03;2020-03-18;0;0
165;990;03;2020-03-19;0;0
166;996;03;2020-03-20;2;0
167;1002;03;2020-03-21;0;0
168;1008;03;2020-03-22;0;0
169;1014;03;2020-03-23;1;0
170;1020;03;2020-03-24;0;0
171;1026;03;2020-03-25;2;1
172;1032;03;2020-03-26;0;0
173;1038;03;2020-03-27;1;0
174;1044;03;2020-03-28;1;0
175;1050;03;2020-03-29;0;0
176;1056;03;2020-03-30;7;0
177;1062;03;2020-03-31;6;0
178;1068;03;2020-04-01;4;0
179;1074;03;2020-04-02;4;0
180;1080;03;2020-04-03;5;0
181;1086;03;2020-04-04;0;0
182;1092;03;2020-04-05;0;0
183;1098;03;2020-04-06;7;1
184;1104;03;2020-04-07;5;1
185;1110;03;2020-04-08;5;1
186;1116;03;2020-04-09;7;0
187;1122;03;2020-04-10;5;0
188;1128;03;2020-04-11;0;0
189;1134;03;2020-04-12;0;0
190;1140;03;2020-04-13;0;0
191;1146;03;2020-04-14;3;0
192;1152;03;2020-04-15;25;0
193;1158;03;2020-04-16;24;0
194;1164;03;2020-04-17;9;0
195;1170;03;2020-04-18;0;0
196;1176;03;2020-04-19;0;0
197;1182;03;2020-04-20;3;0
198;1188;03;2020-04-21;4;0
199;1194;03;2020-04-22;0;0
200;1200;03;2020-04-23;0;0
201;1206;03;2020-04-24;0;0
202;1212;03;2020-04-25;0;0
203;1218;03;2020-04-26;0;0
204;1224;03;2020-04-27;3;0
205;1230;03;2020-04-28;13;0
206;1236;03;2020-04-29;18;0
207;1242;03;2020-04-30;26;1
208;1248;03;2020-05-01;0;0
209;1254;03;2020-05-02;18;0
210;1260;03;2020-05-03;0;0
211;1266;03;2020-05-04;28;0
212;1272;03;2020-05-05;38;1
213;1278;03;2020-05-06;27;0
214;1284;03;2020-05-07;28;0
215;1290;03;2020-05-08;2;0
216;1296;03;2020-05-09;32;0
217;1302;03;2020-05-10;0;0
218;1308;03;2020-05-11;69;0
219;1314;03;2020-05-12;72;0
220;1320;03;2020-05-13;71;0
221;1326;03;2020-05-14;50;0
222;1332;03;2020-05-15;77;1
223;1338;03;2020-05-16;52;0
224;1344;03;2020-05-17;0;0
225;1350;03;2020-05-18;59;0
226;1356;03;2020-05-19;44;2
227;1362;03;2020-05-20;54;3
228;1368;03;2020-05-21;0;0
229;1374;03;2020-05-22;70;0
230;1380;03;2020-05-23;56;0
231;1386;03;2020-05-24;0;0
232;1392;03;2020-05-25;73;0
233;1398;03;2020-05-26;64;0
234;1404;04;2020-03-10;0;0
235;1410;04;2020-03-11;0;0
236;1416;04;2020-03-12;0;0
237;1422;04;2020-03-13;0;0
238;1428;04;2020-03-14;0;0
239;1434;04;2020-03-15;0;0
240;1440;04;2020-03-16;0;0
241;1446;04;2020-03-17;0;0
242;1452;04;2020-03-18;0;0
243;1458;04;2020-03-19;1;0
244;1464;04;2020-03-20;0;0
245;1470;04;2020-03-21;0;0
246;1476;04;2020-03-22;0;0
247;1482;04;2020-03-23;6;1
248;1488;04;2020-03-24;18;1
249;1494;04;2020-03-25;26;3
250;1500;04;2020-03-26;31;2
251;1506;04;2020-03-27;14;4
252;1512;04;2020-03-28;2;0
253;1518;04;2020-03-29;0;0
254;1524;04;2020-03-30;39;4
255;1530;04;2020-03-31;30;3
256;1536;04;2020-04-01;52;5
257;1542;04;2020-04-02;36;2
258;1548;04;2020-04-03;20;1
259;1554;04;2020-04-04;3;0
260;1560;04;2020-04-05;0;0
261;1566;04;2020-04-06;26;3
262;1572;04;2020-04-07;37;0
263;1578;04;2020-04-08;25;0
264;1584;04;2020-04-09;33;0
265;1590;04;2020-04-10;18;2
266;1596;04;2020-04-11;0;0
267;1602;04;2020-04-12;0;0
268;1608;04;2020-04-13;1;0
269;1614;04;2020-04-14;36;4
270;1620;04;2020-04-15;120;2
271;1626;04;2020-04-16;74;5
272;1632;04;2020-04-17;20;3
273;1638;04;2020-04-18;1;0
274;1644;04;2020-04-19;0;0
275;1650;04;2020-04-20;16;0
276;1656;04;2020-04-21;48;2
277;1662;04;2020-04-22;46;1
278;1668;04;2020-04-23;26;0
279;1674;04;2020-04-24;56;1
280;1680;04;2020-04-25;0;0
281;1686;04;2020-04-26;0;0
282;1692;04;2020-04-27;23;1
283;1698;04;2020-04-28;123;2
284;1704;04;2020-04-29;132;1
285;1710;04;2020-04-30;24;3
286;1716;04;2020-05-01;0;0
287;1722;04;2020-05-02;0;0
288;1728;04;2020-05-03;1;0
289;1734;04;2020-05-04;38;1
290;1740;04;2020-05-05;47;0
291;1746;04;2020-05-06;29;2
292;1752;04;2020-05-07;30;0
293;1758;04;2020-05-08;0;0
294;1764;04;2020-05-09;0;0
295;1770;04;2020-05-10;0;0
296;1776;04;2020-05-11;19;2
297;1782;04;2020-05-12;66;1
298;1788;04;2020-05-13;63;1
299;1794;04;2020-05-14;53;0
300;1800;04;2020-05-15;32;0
301;1806;04;2020-05-16;0;0
302;1812;04;2020-05-17;0;0
303;1818;04;2020-05-18;8;0
304;1824;04;2020-05-19;21;0
305;1830;04;2020-05-20;52;0
306;1836;04;2020-05-21;1;0
307;1842;04;2020-05-22;24;0
308;1848;04;2020-05-23;0;0
309;1854;04;2020-05-24;0;0
310;1860;04;2020-05-25;34;0
311;1866;04;2020-05-26;41;0
312;1872;05;2020-03-10;0;0
313;1878;05;2020-03-11;0;0
314;1884;05;2020-03-12;0;0
315;1890;05;2020-03-13;0;0
316;1896;05;2020-03-14;0;0
317;1902;05;2020-03-15;0;0
318;1908;05;2020-03-16;0;0
319;1914;05;2020-03-17;0;0
320;1920;05;2020-03-18;0;0
321;1926;05;2020-03-19;1;0
322;1932;05;2020-03-20;0;0
323;1938;05;2020-03-21;0;0
324;1944;05;2020-03-22;0;0
325;1950;05;2020-03-23;0;0
326;1956;05;2020-03-24;0;0
327;1962;05;2020-03-25;3;0
328;1968;05;2020-03-26;0;0
329;1974;05;2020-03-27;1;0
330;1980;05;2020-03-28;0;0
331;1986;05;2020-03-29;0;0
332;1992;05;2020-03-30;2;0
333;1998;05;2020-03-31;10;0
334;2004;05;2020-04-01;8;0
335;2010;05;2020-04-02;8;1
336;2016;05;2020-04-03;11;0
337;2022;05;2020-04-04;0;0
338;2028;05;2020-04-05;0;0
339;2034;05;2020-04-06;10;1
340;2040;05;2020-04-07;10;0
341;2046;05;2020-04-08;4;0
342;2052;05;2020-04-09;9;0
343;2058;05;2020-04-10;9;0
344;2064;05;2020-04-11;0;0
345;2070;05;2020-04-12;0;0
346;2076;05;2020-04-13;0;0
347;2082;05;2020-04-14;8;0
348;2088;05;2020-04-15;10;0
349;2094;05;2020-04-16;5;0
350;2100;05;2020-04-17;6;1
351;2106;05;2020-04-18;0;0
352;2112;05;2020-04-19;0;0
353;2118;05;2020-04-20;6;1
354;2124;05;2020-04-21;132;0
355;2130;05;2020-04-22;19;0
356;2136;05;2020-04-23;3;0
357;2142;05;2020-04-24;19;0
358;2148;05;2020-04-25;0;0
359;2154;05;2020-04-26;0;0
360;2160;05;2020-04-27;4;0
361;2166;05;2020-04-28;1;0
362;2172;05;2020-04-29;12;0
363;2178;05;2020-04-30;11;0
364;2184;05;2020-05-01;0;0
365;2190;05;2020-05-02;0;0
366;2196;05;2020-05-03;0;0
367;2202;05;2020-05-04;44;0
368;2208;05;2020-05-05;55;0
369;2214;05;2020-05-06;33;0
370;2220;05;2020-05-07;26;0
371;2226;05;2020-05-08;0;0
372;2232;05;2020-05-09;0;0
373;2238;05;2020-05-10;0;0
374;2244;05;2020-05-11;16;0
375;2250;05;2020-05-12;15;0
376;2256;05;2020-05-13;6;0
377;2262;05;2020-05-14;26;0
378;2268;05;2020-05-15;8;0
379;2274;05;2020-05-16;2;0
380;2280;05;2020-05-17;0;0
381;2286;05;2020-05-18;24;0
382;2292;05;2020-05-19;23;0
383;2298;05;2020-05-20;16;0
384;2304;05;2020-05-21;0;0
385;2310;05;2020-05-22;7;0
386;2316;05;2020-05-23;1;0
387;2322;05;2020-05-24;0;0
388;2328;05;2020-05-25;18;0
389;2334;05;2020-05-26;16;0
390;2340;06;2020-03-10;2;0
391;2346;06;2020-03-11;10;0
392;2352;06;2020-03-12;9;0
393;2358;06;2020-03-13;12;0
394;2364;06;2020-03-14;1;0
395;2370;06;2020-03-15;0;0
396;2376;06;2020-03-16;29;3
397;2382;06;2020-03-17;53;5
398;2388;06;2020-03-18;29;4
399;2394;06;2020-03-19;25;7
400;2400;06;2020-03-20;25;5
401;2406;06;2020-03-21;0;0
402;2412;06;2020-03-22;1;0
403;2418;06;2020-03-23;55;2
404;2424;06;2020-03-24;70;11
405;2430;06;2020-03-25;96;10
406;2436;06;2020-03-26;144;25
407;2442;06;2020-03-27;133;9
408;2448;06;2020-03-28;40;3
409;2454;06;2020-03-29;2;0
410;2460;06;2020-03-30;294;33
411;2466;06;2020-03-31;298;25
412;2472;06;2020-04-01;140;15
413;2478;06;2020-04-02;78;7
414;2484;06;2020-04-03;164;5
415;2490;06;2020-04-04;5;1
416;2496;06;2020-04-05;0;0
417;2502;06;2020-04-06;108;7
418;2508;06;2020-04-07;190;14
419;2514;06;2020-04-08;229;4
420;2520;06;2020-04-09;275;30
421;2526;06;2020-04-10;343;10
422;2532;06;2020-04-11;0;0
423;2538;06;2020-04-12;0;0
424;2544;06;2020-04-13;1;1
425;2550;06;2020-04-14;149;1
426;2556;06;2020-04-15;263;0
427;2562;06;2020-04-16;200;10
428;2568;06;2020-04-17;535;5
429;2574;06;2020-04-18;63;0
430;2580;06;2020-04-19;0;0
431;2586;06;2020-04-20;119;1
432;2592;06;2020-04-21;60;5
433;2598;06;2020-04-22;108;1
434;2604;06;2020-04-23;150;2
435;2610;06;2020-04-24;9;0
436;2616;06;2020-04-25;0;0
437;2622;06;2020-04-26;0;0
438;2628;06;2020-04-27;12;0
439;2634;06;2020-04-28;4;0
